timestamp,lacc_x,lacc_y,lacc_z
3932746,-1,-2,-1
3932756,-2,-6,-1
3932766,0,-5,-3
3932776,0,-6,-6
3932786,0,-6,-2
3932796,0,-5,-2
3932806,-1,-7,0
3932816,-1,-4,0
3932826,0,-5,-2
3932836,1,-4,0
3932846,0,-6,-1
3932856,0,-4,-2
3932866,0,-5,-1
3932876,0,-5,-3
3932886,0,-6,0
3932896,0,-4,-2
3932906,0,-4,-1
3932916,-2,-5,-1
3932926,1,-6,-1
3932936,-1,-5,-3
3932946,-1,-6,-1
3932956,0,-7,-2
3932966,-1,-5,-3
3932976,0,-5,-3
3932986,0,-6,-6
3932996,0,-5,-2
3933066,0,-4,-2
3933076,0,-5,-2
3933086,0,-6,-4
3933096,-1,-5,-1
3933106,0,-6,0
3933116,0,-7,0
3933126,-1,-5,-3
3933136,0,-5,-1
3933146,-1,-4,-2
3933156,0,-4,0
3933166,0,-5,-3
3933176,0,-6,-6
3933186,0,-4,-2
3933196,0,-7,-2
3933206,-1,-5,0
3933216,0,-4,-2
3933226,0,-5,-3
3933236,0,-7,-1
3933246,0,-6,-2
3933256,-11,-9,0
3933266,-1,-4,-3
3933276,-18,-11,10
3933286,26,4,3
3933296,6,-1,-37
3933366,0,-6,-13
3933376,0,-4,-23
3933386,-4,-7,12
3933396,-3,-6,-8
3933406,2,-4,-4
3933416,5,-4,-10
3933426,0,-4,0
3933436,-1,-5,-3
3933446,0,-3,-5
3933456,1,-3,-3
3933466,-6,-7,4
3933476,9,3,-10
3933486,17,1,32
3933496,0,-4,-39
3933506,-4,-10,34
3933516,6,-1,-30
3933526,0,-5,-12
3933536,-1,-5,-7
3933546,-4,-4,5
3933556,1,-6,-1
3933566,-2,-7,3
3933576,5,-1,-10
3933586,-12,-9,0
3933596,9,1,-16
3933606,-2,-7,13
3933616,5,-1,-12
3933626,-4,-6,-1
3933636,4,-1,-11
3933646,-18,-8,3
3933656,20,0,-1
3933666,-1,-6,20
3933676,27,2,-44
3933686,-15,-14,41
3933696,16,1,-34
3933766,6,-4,-12
3933776,5,-2,-12
3933786,0,-6,0
3933796,-2,-7,1
3933806,0,-2,-6
3933816,2,-2,-3
3933826,1,-4,-2
3933836,-1,-6,-1
3933846,-1,-5,-1
3933856,-2,-6,-2
3933866,0,-4,0
3933876,-1,-5,-1
3933886,-1,-2,-1
3933896,0,-5,-2
3933906,-1,-7,-1
3933916,0,-5,-4
3933926,0,-4,-2
3933936,-1,-2,-4
3933946,-1,-6,-3
3933956,-2,-4,-2
3933966,-1,-6,-1
3933976,0,-5,-3
3933986,1,-4,-2
3933996,0,-4,-2
3934006,0,-6,-2
3934016,-3,-4,0
3934026,0,-5,-2
3934036,0,-6,-4
3934046,0,-4,-2
3934056,0,-6,-2
3934066,-2,-5,-2
3934076,0,-4,-5
3934086,0,-6,-1
3934096,0,-6,0
3934166,2,-4,0
3934176,0,-5,-2
3934186,0,-5,-2
3934196,0,-3,-2
3934206,0,-5,0
3934216,1,-5,-2
3934226,0,-4,-4
3934236,-1,-5,-2
3934246,0,-5,-3
3934256,-1,-5,0
3934266,0,-5,-2
3934276,0,-1,-2
3934286,0,-4,-2
3934296,0,-5,-2
3934306,0,-6,-2
3934316,-1,-5,-2
3934326,0,-5,-2
3934336,-1,-3,-2
3934346,1,-6,-3
3934356,0,-5,-2
3934366,0,-5,1
3934376,-1,-3,-3
3934386,0,-4,-3
3934396,0,-2,-2
3934406,-1,-3,-2
3934416,0,-5,-2
3934426,2,-6,-5
3934436,-1,-6,-2
3934446,-2,-7,-3
3934456,0,-4,-2
3934466,-1,-6,-1
3934476,0,-6,-5
3934486,-1,-5,-4
3934496,-1,-4,-3
3934506,0,-4,-1
3934516,-1,-5,-3
3934526,1,-4,-4
3934536,0,-5,-4
3934546,0,-5,-1
3934556,0,-5,-2
3934626,-1,-4,-2
3934636,0,-5,-2
3934646,-2,-4,-1
3934656,0,-5,-2
3934666,0,-6,0
3934676,0,-4,-4
3934686,0,-5,-1
3934696,1,-6,0
3934706,0,-4,0
3934716,0,-4,-3
3934726,-1,-5,-4
3934736,0,-4,-3
3934746,0,-6,-3
3934756,-1,-6,-2
3934766,0,-3,-1
3934776,0,-6,-2
3934786,1,-5,-2
3934796,0,-7,-3
3934806,0,-5,-1
3934816,-1,-7,-1
3934826,0,-3,-2
3934836,0,-4,-1
3934846,1,-6,-3
3934856,0,-3,0
3934866,0,-4,-2
3934876,0,-4,-1
3934886,0,-6,-2
3934896,-1,-5,-2
3934907,0,-5,0
3934916,0,-4,-2
3934926,0,-5,-2
3934936,0,-4,-2
3934946,0,-4,-2
3934956,-2,-4,-2
3934966,0,-5,-2
3934976,-1,-6,-2
3934986,0,-4,-3
3934996,0,-5,-1
3935006,0,-3,-1
3935016,-1,-5,-1
3935026,-2,-5,-2
3935036,-2,-4,-2
3935046,-1,-4,-1
3935056,1,-4,-2
3935066,0,-6,-2
